p max   12      43
n       10 s
n       11 t
a       1       6       43
a       1       3       18
a       1       2       66
a       1       8       115
a       2       6       22
a       2       5       41
a       2       4       42
a       2       3       84
a       2       1       66
a       2       9       163
a       3       4       41
a       3       7       60
a       3       9       79
a       3       2       84
a       3       1       18
a       4       5       84
a       4       2       42
a       4       9       121
a       4       3       41
a       4       7       102
a       5       6       64
a       5       2       41
a       5       4       84
a       6       8       158
a       6       1       43
a       6       2       22
a       6       5       64
a       6       11      701
a       7       4       102
a       7       3       60
a       8       6       158
a       8       1       115
a       9       4       121
a       9       3       79
a       9       2       163
a       10      12      701
a       12      1       100
a       12      3       100
a       12      4       100
a       12      5       100
a       12      6       100
a       12      7       100
a       12      8       100
