c This file was generated by genrmf.
c The parameters are: a: 2 b: 2 c1: 1 c2: 5
p max       8         20
n       1 s
n       8 t
a       1       7          3
a       1       2         20
a       1       3         20
a       2       6          1
a       2       1         20
a       2       4         20
a       3       5          4
a       3       4         20
a       3       1         20
a       4       8          5
a       4       3         20
a       4       2         20
a       5       6         20
a       5       7         20
a       6       5         20
a       6       8         20
a       7       8         20
a       7       5         20
a       8       7         20
a       8       6         20
