c Random Network
p max   100     100
n         1  s
n       100  t
a      27      24      37
a      39      72      27
a       2       5      35
a      69      66      40
a      56      32      33
a      68      46      30
a       4       5      46
a       9      79      17
a      14      16      23
a      48      19      27
a      21      24      39
a      29      38      18
a      15      70       7
a      26      46      23
a      50      14      31
a      72      75      20
a      66      26      38
a      75       5      33
a      77       6       6
a      70       9      29
a      14      79       4
a      10      88      37
a      48      61       8
a      70      34      21
a       6      46       4
a      31      96      22
a      16      98      45
a      31       1      49
a       6      61      38
a       8      20      19
a      76      81      26
a      32      71      16
a      37      36      10
a      84      22      30
a       2       3      48
a      36      51      28
a      15       2      19
a      33       3      32
a      54      66      14
a      19      25      18
a      93      68      12
a      11      23      17
a      18      58      23
a       6      18      32
a       1       4      30
a      11      13      36
a      53       6      44
a      88      66       4
a      48      78       9
a      80      72      42
a       5      44      11
a       9      27      46
a      38       1       2
a      87      67      25
a      95       6      48
a      93      72      23
a      97      85      49
a      36      32      47
a      28       4      41
a      63      24       4
a      29      56       9
a       3       7      27
a       8       1      21
a       4       8      32
a       3       2       6
a       5       4      25
a      48      10       7
a      85      41      21
a       4      28      44
a      70      97      13
a       5      56      37
a       8      15       6
a      80      26      24
a      18      13      34
a      23      80       8
a       9      55      33
a      31      52      50
a      20      10       7
a      84      62      34
a      29      43       6
a       6      20      25
a      80      58      15
a      46      26      43
a      74      51      42
a     100      60      43
a      39      88      35
a      45      41       1
a      25      65      31
a       6       8      33
a     100      51      40
a      11      75      21
a       1      14      46
a      16      41       6
a      53      45      50
a       4      22      23
a      14      83       6
a      17      83      32
a     100      83       1
a      16       8      41
a      57      17      44
